MP|MADHYAPRADESH$
HR|HARYANA$
AP|ANDHRAPRADESH$
AR|ARUNACHALPRADESH$
AS|ASSAM$
BR|BIHAR$
CG|CHHATTISGARH$
GA|GOA$
GJ|GUJARAT$
HP|HIMACHALPRADESH$
JK|JAMMU&KASHMIR$
JH|JHARKHAND$
KA|KARNATAKA$
KL|KERALA$
MH|MAHARASHTRA$
MN|MANIPUR$
ML|MEGHALAYA$
MZ|MIZORAM$
NL|NAGALAND$
OR|ORRISA$
PB|PUNJAB$
RJ|RAJASTHAN$
SK|SIKKIM$
TN|TAMILNADU$
TR|TRIPURA$
UK|UTTRAKHAND$
UP|UTTARPRADESH$
WB|WESTBENGAL$
TG|TELAGANA$


